x,lagrange,spline
3.8400,15.7212,17.1600
3.8500,15.6992,17.1614
3.8600,15.6771,17.1627
3.8700,15.6549,17.1640
3.8800,15.6326,17.1653
3.8900,15.6102,17.1666
3.9000,15.5877,17.1679
3.9100,15.5651,17.1692
3.9200,15.5424,17.1704
3.9300,15.5195,17.1717
3.9400,15.4966,17.1729
3.9500,15.4736,17.1741
3.9600,15.4505,17.1753
3.9700,15.4273,17.1765
3.9800,15.4040,17.1777
3.9900,15.3806,17.1788
4.0000,15.3571,17.1800
4.0100,15.3336,17.1811
4.0200,15.3099,17.1823
4.0300,15.2862,17.1834
4.0400,15.2624,17.1845
4.0500,15.2385,17.1856
4.0600,15.2146,17.1867
4.0700,15.1906,17.1878
4.0800,15.1664,17.1888
4.0900,15.1423,17.1899
4.1000,15.1180,17.1909
4.1100,15.0937,17.1919
4.1200,15.0693,17.1929
4.1300,15.0449,17.1939
4.1400,15.0203,17.1949
4.1500,14.9958,17.1959
4.1600,14.9711,17.1969
4.1700,14.9464,17.1978
4.1800,14.9217,17.1988
4.1900,14.8969,17.1997
4.2000,14.8720,17.2006
4.2100,14.8471,17.2016
4.2200,14.8221,17.2024
4.2300,14.7971,17.2033
4.2400,14.7720,17.2042
4.2500,14.7469,17.2051
4.2600,14.7218,17.2059
4.2700,14.6966,17.2068
4.2800,14.6714,17.2076
4.2900,14.6461,17.2084
4.3000,14.6208,17.2092
4.3100,14.5954,17.2100
4.3200,14.5700,17.2108
4.3300,14.5446,17.2116
4.3400,14.5192,17.2124
4.3500,14.4937,17.2131
4.3600,14.4682,17.2139
4.3700,14.4427,17.2146
4.3800,14.4172,17.2153
4.3900,14.3916,17.2160
4.4000,14.3660,17.2167
4.4100,14.3404,17.2174
4.4200,14.3148,17.2181
4.4300,14.2891,17.2188
4.4400,14.2635,17.2194
4.4500,14.2378,17.2201
4.4600,14.2121,17.2207
4.4700,14.1865,17.2213
4.4800,14.1608,17.2219
4.4900,14.1351,17.2225
4.5000,14.1094,17.2231
4.5100,14.0837,17.2237
4.5200,14.0580,17.2243
4.5300,14.0323,17.2248
4.5400,14.0066,17.2254
4.5500,13.9809,17.2259
4.5600,13.9552,17.2265
4.5700,13.9295,17.2270
4.5800,13.9039,17.2275
4.5900,13.8782,17.2280
4.6000,13.8526,17.2285
4.6100,13.8269,17.2290
4.6200,13.8013,17.2294
4.6300,13.7757,17.2299
4.6400,13.7502,17.2303
4.6500,13.7246,17.2308
4.6600,13.6991,17.2312
4.6700,13.6736,17.2316
4.6800,13.6481,17.2320
4.6900,13.6227,17.2324
4.7000,13.5973,17.2328
4.7100,13.5719,17.2332
4.7200,13.5465,17.2336
4.7300,13.5212,17.2339
4.7400,13.4959,17.2343
4.7500,13.4707,17.2346
4.7600,13.4455,17.2349
4.7700,13.4203,17.2353
4.7800,13.3952,17.2356
4.7900,13.3702,17.2359
4.8000,13.3451,17.2362
4.8100,13.3202,17.2364
4.8200,13.2952,17.2367
4.8300,13.2704,17.2370
4.8400,13.2456,17.2372
4.8500,13.2208,17.2375
4.8600,13.1961,17.2377
4.8700,13.1714,17.2379
4.8800,13.1469,17.2381
4.8900,13.1223,17.2383
4.9000,13.0979,17.2385
4.9100,13.0735,17.2387
4.9200,13.0492,17.2389
4.9300,13.0249,17.2391
4.9400,13.0007,17.2392
4.9500,12.9766,17.2394
4.9600,12.9525,17.2395
4.9700,12.9286,17.2397
4.9800,12.9047,17.2398
4.9900,12.8809,17.2399
5.0000,12.8571,17.2400
5.0100,12.8335,17.2401
5.0200,12.8099,17.2402
5.0300,12.7864,17.2403
5.0400,12.7631,17.2403
5.0500,12.7398,17.2404
5.0600,12.7165,17.2404
5.0700,12.6934,17.2405
5.0800,12.6704,17.2405
5.0900,12.6475,17.2405
5.1000,12.6246,17.2406
5.1100,12.6019,17.2406
5.1200,12.5793,17.2406
5.1300,12.5567,17.2406
5.1400,12.5343,17.2405
5.1500,12.5120,17.2405
5.1600,12.4898,17.2405
5.1700,12.4676,17.2404
5.1800,12.4457,17.2404
5.1900,12.4238,17.2403
5.2000,12.4020,17.2402
5.2100,12.3803,17.2402
5.2200,12.3588,17.2401
5.2300,12.3374,17.2400
5.2400,12.3161,17.2399
5.2500,12.2949,17.2398
5.2600,12.2739,17.2396
5.2700,12.2529,17.2395
5.2800,12.2322,17.2394
5.2900,12.2115,17.2392
5.3000,12.1909,17.2391
5.3100,12.1705,17.2389
5.3200,12.1503,17.2388
5.3300,12.1301,17.2386
5.3400,12.1101,17.2384
5.3500,12.0903,17.2382
5.3600,12.0706,17.2380
5.3700,12.0510,17.2378
5.3800,12.0316,17.2376
5.3900,12.0123,17.2374
5.4000,11.9931,17.2371
5.4100,11.9742,17.2369
5.4200,11.9553,17.2366
5.4300,11.9366,17.2364
5.4400,11.9181,17.2361
5.4500,11.8997,17.2358
5.4600,11.8815,17.2356
5.4700,11.8635,17.2353
5.4800,11.8456,17.2350
5.4900,11.8278,17.2347
5.5000,11.8103,17.2344
5.5100,11.7929,17.2341
5.5200,11.7756,17.2337
5.5300,11.7586,17.2334
5.5400,11.7417,17.2331
5.5500,11.7250,17.2327
5.5600,11.7084,17.2324
5.5700,11.6920,17.2320
5.5800,11.6758,17.2316
5.5900,11.6598,17.2313
5.6000,11.6440,17.2309
5.6100,11.6284,17.2305
5.6200,11.6129,17.2301
5.6300,11.5976,17.2297
5.6400,11.5825,17.2293
5.6500,11.5676,17.2289
5.6600,11.5529,17.2284
5.6700,11.5384,17.2280
5.6800,11.5241,17.2276
5.6900,11.5099,17.2271
5.7000,11.4960,17.2267
5.7100,11.4823,17.2262
5.7200,11.4688,17.2257
5.7300,11.4554,17.2253
5.7400,11.4423,17.2248
5.7500,11.4294,17.2243
5.7600,11.4167,17.2238
5.7700,11.4042,17.2233
5.7800,11.3919,17.2228
5.7900,11.3799,17.2223
5.8000,11.3680,17.2218
5.8100,11.3564,17.2212
5.8200,11.3449,17.2207
5.8300,11.3337,17.2202
5.8400,11.3228,17.2196
5.8500,11.3120,17.2191
5.8600,11.3015,17.2185
5.8700,11.2912,17.2179
5.8800,11.2811,17.2174
5.8900,11.2712,17.2168
5.9000,11.2616,17.2162
5.9100,11.2522,17.2156
5.9200,11.2431,17.2150
5.9300,11.2342,17.2144
5.9400,11.2255,17.2138
5.9500,11.2171,17.2132
5.9600,11.2089,17.2126
5.9700,11.2009,17.2119
5.9800,11.1932,17.2113
5.9900,11.1858,17.2106
6.0000,11.1786,17.2100
6.0100,11.1716,17.2093
6.0200,11.1649,17.2087
6.0300,11.1585,17.2080
6.0400,11.1523,17.2074
6.0500,11.1463,17.2067
6.0600,11.1406,17.2060
6.0700,11.1352,17.2053
6.0800,11.1300,17.2046
6.0900,11.1252,17.2039
6.1000,11.1205,17.2032
6.1100,11.1162,17.2025
6.1200,11.1121,17.2018
6.1300,11.1082,17.2011
6.1400,11.1047,17.2003
6.1500,11.1014,17.1996
6.1600,11.0984,17.1989
6.1700,11.0957,17.1981
6.1800,11.0932,17.1974
6.1900,11.0910,17.1966
6.2000,11.0891,17.1958
6.2100,11.0875,17.1951
6.2200,11.0862,17.1943
6.2300,11.0852,17.1935
6.2400,11.0844,17.1927
6.2500,11.0840,17.1920
6.2600,11.0838,17.1912
6.2700,11.0840,17.1904
6.2800,11.0844,17.1896
6.2900,11.0851,17.1887
6.3000,11.0861,17.1879
6.3100,11.0874,17.1871
6.3200,11.0891,17.1863
6.3300,11.0910,17.1855
6.3400,11.0932,17.1846
6.3500,11.0958,17.1838
6.3600,11.0986,17.1829
6.3700,11.1018,17.1821
6.3800,11.1053,17.1812
6.3900,11.1090,17.1804
6.4000,11.1131,17.1795
6.4100,11.1176,17.1787
6.4200,11.1223,17.1778
6.4300,11.1274,17.1769
6.4400,11.1327,17.1760
6.4500,11.1384,17.1751
6.4600,11.1445,17.1742
6.4700,11.1508,17.1733
6.4800,11.1575,17.1724
6.4900,11.1645,17.1715
6.5000,11.1719,17.1706
6.5100,11.1796,17.1697
6.5200,11.1876,17.1688
6.5300,11.1959,17.1679
6.5400,11.2046,17.1669
6.5500,11.2137,17.1660
6.5600,11.2230,17.1651
6.5700,11.2328,17.1641
6.5800,11.2428,17.1632
6.5900,11.2532,17.1622
6.6000,11.2640,17.1613
6.6100,11.2751,17.1603
6.6200,11.2866,17.1594
6.6300,11.2984,17.1584
6.6400,11.3106,17.1574
6.6500,11.3231,17.1564
6.6600,11.3360,17.1555
6.6700,11.3493,17.1545
6.6800,11.3629,17.1535
6.6900,11.3769,17.1525
6.7000,11.3912,17.1515
6.7100,11.4059,17.1505
6.7200,11.4210,17.1495
6.7300,11.4364,17.1485
6.7400,11.4523,17.1475
6.7500,11.4685,17.1465
6.7600,11.4850,17.1455
6.7700,11.5020,17.1444
6.7800,11.5193,17.1434
6.7900,11.5370,17.1424
6.8000,11.5551,17.1414
6.8100,11.5736,17.1403
6.8200,11.5925,17.1393
6.8300,11.6117,17.1382
6.8400,11.6314,17.1372
6.8500,11.6514,17.1361
6.8600,11.6718,17.1351
6.8700,11.6927,17.1340
6.8800,11.7139,17.1330
6.8900,11.7355,17.1319
6.9000,11.7575,17.1308
6.9100,11.7799,17.1298
6.9200,11.8028,17.1287
