x,lagrange,spline
5.400000,11.993143,17.237120
5.410000,11.974156,17.236880
5.420000,11.955320,17.236632
5.430000,11.936636,17.236377
5.440000,11.918107,17.236114
5.450000,11.899734,17.235843
5.460000,11.881519,17.235565
5.470000,11.863463,17.235279
5.480000,11.845568,17.234985
5.490000,11.827836,17.234684
5.500000,11.810268,17.234375
5.510000,11.792866,17.234059
5.520000,11.775632,17.233735
5.530000,11.758567,17.233404
5.540000,11.741674,17.233065
5.550000,11.724953,17.232719
5.560000,11.708407,17.232366
5.570000,11.692037,17.232005
5.580000,11.675844,17.231638
5.590000,11.659832,17.231262
5.600000,11.644000,17.230880
5.610000,11.628351,17.230490
5.620000,11.612887,17.230094
5.630000,11.597609,17.229690
5.640000,11.582519,17.229279
5.650000,11.567618,17.228861
5.660000,11.552909,17.228435
5.670000,11.538393,17.228003
5.680000,11.524071,17.227564
5.690000,11.509945,17.227118
5.700000,11.496018,17.226665
5.710000,11.482290,17.226205
5.720000,11.468763,17.225738
5.730000,11.455440,17.225265
5.740000,11.442321,17.224784
5.750000,11.429408,17.224297
5.760000,11.416704,17.223803
5.770000,11.404209,17.223302
5.780000,11.391926,17.222795
5.790000,11.379856,17.222281
5.800000,11.368000,17.221760
5.810000,11.356361,17.221233
5.820000,11.344940,17.220699
5.830000,11.333739,17.220158
5.840000,11.322759,17.219612
5.850000,11.312002,17.219058
5.860000,11.301470,17.218498
5.870000,11.291165,17.217932
5.880000,11.281088,17.217359
5.890000,11.271241,17.216780
5.900000,11.261625,17.216195
5.910000,11.252242,17.215603
5.920000,11.243095,17.215005
5.930000,11.234184,17.214401
5.940000,11.225511,17.213791
5.950000,11.217078,17.213174
5.960000,11.208887,17.212552
5.970000,11.200939,17.211923
5.980000,11.193236,17.211288
5.990000,11.185779,17.210647
6.000000,11.178571,17.210000
6.010000,11.171613,17.209347
6.020000,11.164907,17.208688
6.030000,11.158454,17.208023
6.040000,11.152256,17.207352
6.050000,11.146315,17.206676
6.060000,11.140632,17.205993
6.070000,11.135209,17.205305
6.080000,11.130048,17.204611
6.090000,11.125150,17.203911
6.100000,11.120518,17.203205
6.110000,11.116152,17.202494
6.120000,11.112055,17.201777
6.130000,11.108228,17.201054
6.140000,11.104672,17.200326
6.150000,11.101391,17.199592
6.160000,11.098384,17.198852
6.170000,11.095654,17.198108
6.180000,11.093203,17.197357
6.190000,11.091032,17.196601
6.200000,11.089143,17.195840
6.210000,11.087537,17.195073
6.220000,11.086217,17.194301
6.230000,11.085184,17.193524
6.240000,11.084439,17.192741
6.250000,11.083984,17.191953
6.260000,11.083822,17.191160
6.270000,11.083953,17.190361
6.280000,11.084379,17.189558
6.290000,11.085103,17.188749
6.300000,11.086125,17.187935
6.310000,11.087447,17.187116
6.320000,11.089072,17.186292
6.330000,11.091000,17.185463
6.340000,11.093234,17.184629
6.350000,11.095775,17.183789
6.360000,11.098624,17.182945
6.370000,11.101784,17.182096
6.380000,11.105256,17.181242
6.390000,11.109042,17.180384
6.400000,11.113143,17.179520
6.410000,11.117561,17.178652
6.420000,11.122298,17.177778
6.430000,11.127356,17.176901
6.440000,11.132736,17.176018
6.450000,11.138440,17.175131
6.460000,11.144469,17.174239
6.470000,11.150825,17.173342
6.480000,11.157511,17.172441
6.490000,11.164527,17.171535
6.500000,11.171875,17.170625
6.510000,11.179557,17.169710
6.520000,11.187575,17.168791
6.530000,11.195930,17.167867
6.540000,11.204624,17.166939
6.550000,11.213658,17.166007
6.560000,11.223035,17.165070
